CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0174,0.9999879436694386
C0001,C0135,0.9999844934562775
C0001,C0139,0.9999822895308264
C0002,C0029,0.9999664526490727
C0002,C0025,0.9999661281475694
C0002,C0121,0.9999567212133877
C0003,C0148,0.9999981615583643
C0003,C0021,0.999996159357211
C0003,C0089,0.9999948868486738
C0004,C0167,0.9999968080694094
C0004,C0142,0.999994344111737
C0004,C0034,0.999992794365829
C0005,C0159,0.9999921319550306
C0005,C0176,0.9999782818287117
C0005,C0166,0.9999756615037821
C0006,C0056,0.9999978952652863
C0006,C0127,0.9999967849065466
C0006,C0008,0.999994480315265
C0007,C0119,0.9999942921125988
C0007,C0015,0.9999873454280547
C0007,C0038,0.9999753707214682
C0008,C0017,0.9999966025772843
C0008,C0101,0.9999961398147523
C0008,C0056,0.9999959475262308
C0009,C0025,0.9999902854011848
C0009,C0002,0.9999390130286985
C0009,C0029,0.9998378691959515
C0010,C0176,0.9999909766401276
C0010,C0166,0.99998145637169
C0010,C0005,0.9999461877264484
C0011,C0023,0.9999947468276131
C0011,C0162,0.9999737299842877
C0011,C0107,0.999956920007208
C0012,C0195,0.9999986466927775
C0012,C0028,0.9999963954044947
C0012,C0098,0.999995011354257
C0013,C0057,0.999998005578135
C0013,C0059,0.9999979091051864
C0013,C0143,0.9999977851024768
C0014,C0071,0.9999343668862092
C0014,C0043,0.9994063369705707
C0014,C0128,0.9978792392140308
C0015,C0038,0.9999972955976142
C0015,C0007,0.9999873454280547
C0015,C0119,0.999985657920224
C0016,C0170,0.9999981433777838
C0016,C0024,0.9999967927444394
C0016,C0022,0.9999965885104078
C0017,C0137,0.9999989418036117
C0017,C0101,0.9999987559795309
C0017,C0008,0.9999966025772843
C0018,C0055,0.9999988550546185
C0018,C0065,0.9999983948893072
C0018,C0154,0.9999975362416206
C0019,C0070,0.9999857408813013
C0019,C0147,0.9999802593380673
C0019,C0161,0.9999775213687347
C0020,C0079,0.9999713906365593
C0020,C0125,0.9999539510235264
C0020,C0193,0.99995393634835
C0021,C0148,0.9999983588377879
C0021,C0003,0.999996159357211
C0021,C0129,0.9999935316600639
C0022,C0024,0.9999982540283485
C0022,C0016,0.9999965885104078
C0022,C0183,0.9999954629865903
C0023,C0011,0.9999947468276131
C0023,C0107,0.9999762877531307
C0023,C0113,0.9999748697873301
C0024,C0022,0.9999982540283485
C0024,C0191,0.9999979563731509
C0024,C0016,0.9999967927444394
C0025,C0009,0.9999902854011848
C0025,C0002,0.9999661281475694
C0025,C0029,0.99987502411263
C0026,C0126,0.9999951487454057
C0026,C0078,0.9999944206396569
C0026,C0136,0.9999918702094259
C0027,C0074,0.9999942015166353
C0027,C0086,0.9999936310881439
C0027,C0118,0.9999902584148214
C0028,C0098,0.999998425984229
C0028,C0084,0.9999975059629846
C0028,C0012,0.9999963954044947
C0029,C0121,0.9999884933732154
C0029,C0002,0.9999664526490727
C0029,C0077,0.999947855121199
C0030,C0189,0.9999966564570091
C0030,C0169,0.9999961285218452
C0030,C0102,0.9999945876881801
C0031,C0173,0.9999988025579574
C0031,C0169,0.9999978643337867
C0031,C0030,0.9999944324072324
C0032,C0094,0.9999896907858097
C0032,C0192,0.9999764316383839
C0032,C0073,0.9999548260176491
C0033,C0150,0.9983922255146881
C0033,C0198,0.9972931647103029
C0033,C0083,0.9962508801792122
C0034,C0167,0.9999958822496676
C0034,C0142,0.999995038187061
C0034,C0178,0.9999937127268055
C0035,C0087,0.9999978215701919
C0035,C0085,0.9999940584044308
C0035,C0013,0.9999921211057996
C0036,C0075,0.999998292080351
C0036,C0099,0.9999981435770959
C0036,C0047,0.9999969651676092
C0037,C0149,0.9999934720294741
C0037,C0104,0.9999841690607564
C0037,C0108,0.9999837336244406
C0038,C0015,0.9999972955976142
C0038,C0119,0.9999765078397521
C0038,C0007,0.9999753707214682
C0039,C0154,0.9999993070661343
C0039,C0065,0.9999985501956058
C0039,C0055,0.9999978056471912
C0040,C0186,0.9999911999093705
